departure_to_lax,departure_count_lax,arrival_airport_lax,iata_lax,departure_to_atl,departure_count_atl,arrival_airport_atl,iata_atl
Manzanillo,12,Los Angeles International,LAX,Metropolitan Oak International,89,Hartsfield-jackson Atlanta International,ATL
Metropolitan Oak International,232,Los Angeles International,LAX,Dallas/Fort Worth International,1043,Hartsfield-jackson Atlanta International,ATL
Love Field,320,Los Angeles International,LAX,Boise Air Terminal/Gowen Field,155,Hartsfield-jackson Atlanta International,ATL
Denver International,1905,Los Angeles International,LAX,Mineta San Jose International Airport,110,Hartsfield-jackson Atlanta International,ATL
Dallas/Fort Worth International,2644,Los Angeles International,LAX,Sacramento International,173,Hartsfield-jackson Atlanta International,ATL
Boise Air Terminal/Gowen Field,809,Los Angeles International,LAX,Salt Lake City International,327,Hartsfield-jackson Atlanta International,ATL
George Bush Intercontinental,1598,Los Angeles International,LAX,San Diego International Airport,281,Hartsfield-jackson Atlanta International,ATL
Seattle-Tacoma International,1251,Los Angeles International,LAX,Honolulu International,285,Hartsfield-jackson Atlanta International,ATL
Mineta San Jose International Airport,561,Los Angeles International,LAX,San Francisco International,603,Hartsfield-jackson Atlanta International,ATL
Sacramento International,857,Los Angeles International,LAX,Sky Harbor International,421,Hartsfield-jackson Atlanta International,ATL
Salt Lake City International,1364,Los Angeles International,LAX,Mc Carran International,589,Hartsfield-jackson Atlanta International,ATL
John F Kennedy International,2086,Los Angeles International,LAX,Detroit Metropolitan Wayne County,316,Hartsfield-jackson Atlanta International,ATL
Portland International,940,Los Angeles International,LAX,Don Miguel Hidalgo y Costilla International,154,Hartsfield-jackson Atlanta International,ATL
San Diego International Airport,344,Los Angeles International,LAX,Portland International,318,Hartsfield-jackson Atlanta International,ATL
Honolulu International,2616,Los Angeles International,LAX,Guangzhou Baiyun International,43,Hartsfield-jackson Atlanta International,ATL
Chicago Ohare International,2067,Los Angeles International,LAX,John F Kennedy International,618,Hartsfield-jackson Atlanta International,ATL
Sky Harbor International,1271,Los Angeles International,LAX,Austin-bergstrom International,417,Hartsfield-jackson Atlanta International,ATL
San Francisco International,1924,Los Angeles International,LAX,Palm Springs Metropolitan Area,79,Hartsfield-jackson Atlanta International,ATL
Hartsfield-jackson Atlanta International,1200,Los Angeles International,LAX,Franz Josef Strauss,8,Hartsfield-jackson Atlanta International,ATL
Mc Carran International,1924,Los Angeles International,LAX,Fresno Air Terminal Airport,96,Hartsfield-jackson Atlanta International,ATL
Schiphol,470,Los Angeles International,LAX,Nashville International,393,Hartsfield-jackson Atlanta International,ATL
Detroit Metropolitan Wayne County,467,Los Angeles International,LAX,Logan International,639,Hartsfield-jackson Atlanta International,ATL
Don Miguel Hidalgo y Costilla International,542,Los Angeles International,LAX,Chicago Ohare International,990,Hartsfield-jackson Atlanta International,ATL
Charlotte Douglas,474,Los Angeles International,LAX,Ataturk Airport,103,Hartsfield-jackson Atlanta International,ATL
Ninoy Aquino International,23,Los Angeles International,LAX,Taiwan Taoyuan International (Chiang Kai Shek International),104,Hartsfield-jackson Atlanta International,ATL
Internacional Benito Juarez,1216,Los Angeles International,LAX,Raleigh-durham International Airport,522,Hartsfield-jackson Atlanta International,ATL
Haneda Airport,246,Los Angeles International,LAX,George Bush Intercontinental,317,Hartsfield-jackson Atlanta International,ATL
El Salvador International,390,Los Angeles International,LAX,Seoul (Incheon),329,Hartsfield-jackson Atlanta International,ATL
Guangzhou Baiyun International,47,Los Angeles International,LAX,Louis Armstrong New Orléans International Airport,473,Hartsfield-jackson Atlanta International,ATL
Austin-bergstrom International,988,Los Angeles International,LAX,Charlotte Douglas,378,Hartsfield-jackson Atlanta International,ATL
Heathrow,709,Los Angeles International,LAX,Jacksonville,436,Hartsfield-jackson Atlanta International,ATL
Palm Springs Metropolitan Area,236,Los Angeles International,LAX,Denver International,465,Hartsfield-jackson Atlanta International,ATL
Franz Josef Strauss,17,Los Angeles International,LAX,Heathrow,167,Hartsfield-jackson Atlanta International,ATL
Fresno Air Terminal Airport,332,Los Angeles International,LAX,Snohomish County - Paine Field,9,Hartsfield-jackson Atlanta International,ATL
Nashville International,1174,Los Angeles International,LAX,Schiphol,213,Hartsfield-jackson Atlanta International,ATL
Logan International,554,Los Angeles International,LAX,Indianapolis International,260,Hartsfield-jackson Atlanta International,ATL
Orlando International,1239,Los Angeles International,LAX,Clinton Field,13,Hartsfield-jackson Atlanta International,ATL
Ataturk Airport,451,Los Angeles International,LAX,Loreto,4,Hartsfield-jackson Atlanta International,ATL
William P Hobby,170,Los Angeles International,LAX,Miami International Airport,946,Hartsfield-jackson Atlanta International,ATL
Beijing Capital International,83,Los Angeles International,LAX,Seattle-Tacoma International,465,Hartsfield-jackson Atlanta International,ATL
Albuquerque International,582,Los Angeles International,LAX,Arcata,8,Hartsfield-jackson Atlanta International,ATL
Taiwan Taoyuan International (Chiang Kai Shek International),628,Los Angeles International,LAX,Reno-Tahoe International,104,Hartsfield-jackson Atlanta International,ATL
Raleigh-durham International Airport,310,Los Angeles International,LAX,Love Field,275,Hartsfield-jackson Atlanta International,ATL
Narita International Airport,355,Los Angeles International,LAX,Shanghai Pudong International,43,Hartsfield-jackson Atlanta International,ATL
Jorge Chavez International,119,Los Angeles International,LAX,Ted Stevens Anchorage International Airport,172,Hartsfield-jackson Atlanta International,ATL
Shanghai Pudong International,955,Los Angeles International,LAX,Tucson International Airport,48,Hartsfield-jackson Atlanta International,ATL
Fort Lauderdale–Hollywood International,574,Los Angeles International,LAX,Tampa International,500,Hartsfield-jackson Atlanta International,ATL
Hopkins International,93,Los Angeles International,LAX,Fort Lauderdale–Hollywood International,452,Hartsfield-jackson Atlanta International,ATL
Pittsburgh International,70,Los Angeles International,LAX,Cancún International,156,Hartsfield-jackson Atlanta International,ATL
Newark Liberty International,894,Los Angeles International,LAX,Rogue Valley International - Medford Airport,28,Hartsfield-jackson Atlanta International,ATL
Seoul (Incheon),1386,Los Angeles International,LAX,Orlando International,728,Hartsfield-jackson Atlanta International,ATL
Ted Stevens Anchorage International Airport,343,Los Angeles International,LAX,Kingsford Smith,16,Hartsfield-jackson Atlanta International,ATL
Singapore Changi,392,Los Angeles International,LAX,Jorge Chavez International,82,Hartsfield-jackson Atlanta International,ATL
Louis Armstrong New Orléans International Airport,832,Los Angeles International,LAX,Memphis International,429,Hartsfield-jackson Atlanta International,ATL
Fort Worth Alliance,36,Los Angeles International,LAX,Internacional Benito Juarez,358,Hartsfield-jackson Atlanta International,ATL
Hong Kong International,60,Los Angeles International,LAX,Hartsfield-jackson Atlanta International,114,Hartsfield-jackson Atlanta International,ATL
Sonoma County,40,Los Angeles International,LAX,Newark Liberty International,556,Hartsfield-jackson Atlanta International,ATL
Jacksonville,83,Los Angeles International,LAX,Narita International Airport,69,Hartsfield-jackson Atlanta International,ATL
Cancún International,323,Los Angeles International,LAX,Ronald Reagan Washington National Airport,825,Hartsfield-jackson Atlanta International,ATL
Internacional,25,Los Angeles International,LAX,Midway,235,Hartsfield-jackson Atlanta International,ATL
Provo,5,Los Angeles International,LAX,Colorado Springs,19,Hartsfield-jackson Atlanta International,ATL
Snohomish County - Paine Field,42,Los Angeles International,LAX,Doha International,10,Hartsfield-jackson Atlanta International,ATL
Daniel Oduber International,91,Los Angeles International,LAX,Zhengzhou,19,Hartsfield-jackson Atlanta International,ATL
Imperial County,262,Los Angeles International,LAX,Tullamarine,8,Hartsfield-jackson Atlanta International,ATL
Indianapolis International,78,Los Angeles International,LAX,Los Cabos,82,Hartsfield-jackson Atlanta International,ATL
Clinton Field,13,Los Angeles International,LAX,Monterey Peninsula,23,Hartsfield-jackson Atlanta International,ATL
Loreto,9,Los Angeles International,LAX,Kahului,27,Hartsfield-jackson Atlanta International,ATL
Miami International Airport,1007,Los Angeles International,LAX,William P Hobby,216,Hartsfield-jackson Atlanta International,ATL
Jeffco,1,Los Angeles International,LAX,Kansas City International Airport,204,Hartsfield-jackson Atlanta International,ATL
Arcata,32,Los Angeles International,LAX,Tulsa International,180,Hartsfield-jackson Atlanta International,ATL
Reno-Tahoe International,869,Los Angeles International,LAX,Washington Dulles International,306,Hartsfield-jackson Atlanta International,ATL
Merced Municipal Airport,132,Los Angeles International,LAX,International,418,Hartsfield-jackson Atlanta International,ATL
Van Nuys,7,Los Angeles International,LAX,Redding,5,Hartsfield-jackson Atlanta International,ATL
Tucson International Airport,293,Los Angeles International,LAX,Roberts Field,8,Hartsfield-jackson Atlanta International,ATL
Xiamen,8,Los Angeles International,LAX,Licenciado Gustavo Díaz Ordaz International,16,Hartsfield-jackson Atlanta International,ATL
