airport,flight_type,dep_airport,City,state,country,dep_airport_iata,arr_airport,arr_airport_iata
Hartsfield-jackson Atlanta International,ARRIVAL,Dallas/Fort Worth International,Dallas/Fort Worth,TX,USA,DFW,Hartsfield-jackson Atlanta International,ATL
Hartsfield-jackson Atlanta International,ARRIVAL,Boise Air Terminal/Gowen Field,Boise,ID,USA,BOI,Hartsfield-jackson Atlanta International,ATL
Hartsfield-jackson Atlanta International,ARRIVAL,Boise Air Terminal/Gowen Field,Boise,ID,USA,BOI,Hartsfield-jackson Atlanta International,ATL
Hartsfield-jackson Atlanta International,ARRIVAL,George Bush Intercontinental,Houston,TX,USA,IAH,Hartsfield-jackson Atlanta International,ATL
Hartsfield-jackson Atlanta International,ARRIVAL,Seattle-Tacoma International,Seattle,WA,USA,SEA,Hartsfield-jackson Atlanta International,ATL
Hartsfield-jackson Atlanta International,ARRIVAL,Seattle-Tacoma International,Seattle,WA,USA,SEA,Hartsfield-jackson Atlanta International,ATL
Hartsfield-jackson Atlanta International,ARRIVAL,Metropolitan Oak International,Oakland,CA,USA,OAK,Hartsfield-jackson Atlanta International,ATL
Hartsfield-jackson Atlanta International,ARRIVAL,Manzanillo,Manzanillo,,Mexico,ZLO,Hartsfield-jackson Atlanta International,ATL
Hartsfield-jackson Atlanta International,ARRIVAL,Love Field,Dallas,TX,USA,DAL,Hartsfield-jackson Atlanta International,ATL
Hartsfield-jackson Atlanta International,ARRIVAL,Denver International,Denver,CO,USA,DEN,Hartsfield-jackson Atlanta International,ATL
Hartsfield-jackson Atlanta International,ARRIVAL,Dallas/Fort Worth International,Dallas/Fort Worth,TX,USA,DFW,Hartsfield-jackson Atlanta International,ATL
Hartsfield-jackson Atlanta International,ARRIVAL,Boise Air Terminal/Gowen Field,Boise,ID,USA,IAH,Hartsfield-jackson Atlanta International,ATL
Hartsfield-jackson Atlanta International,ARRIVAL,George Bush Intercontinental,Houston,TX,USA,IAH,Hartsfield-jackson Atlanta International,ATL
Hartsfield-jackson Atlanta International,ARRIVAL,Seattle-Tacoma International,Seattle,WA,USA,SEA,Hartsfield-jackson Atlanta International,ATL
Hartsfield-jackson Atlanta International,ARRIVAL,Seattle-Tacoma International,Seattle,WA,USA,SEA,Hartsfield-jackson Atlanta International,ATL
Hartsfield-jackson Atlanta International,ARRIVAL,Mineta San Jose International Airport,San Jose,CA,USA,SJC,Hartsfield-jackson Atlanta International,ATL
Hartsfield-jackson Atlanta International,ARRIVAL,Mineta San Jose International Airport,San Jose,CA,USA,SJC,Hartsfield-jackson Atlanta International,ATL
Hartsfield-jackson Atlanta International,ARRIVAL,Mineta San Jose International Airport,San Jose,CA,USA,SJC,Hartsfield-jackson Atlanta International,ATL
Hartsfield-jackson Atlanta International,ARRIVAL,Sky Harbor International,Phoenix,AZ,USA,PHX,Hartsfield-jackson Atlanta International,ATL
