departure_to_atl,departure_count_atl,arrival_airport_atl,iata_atl,atl_rank,departure_to_lax,departure_count_lax,arrival_airport_lax,iata_lax,lax_rank
Dallas/Fort Worth International,1043,Hartsfield-jackson Atlanta International,ATL,1,Manzanillo,12,Los Angeles International,LAX,1
Chicago Ohare International,990,Hartsfield-jackson Atlanta International,ATL,2,Metropolitan Oak International,232,Los Angeles International,LAX,2
Miami International Airport,946,Hartsfield-jackson Atlanta International,ATL,3,Love Field,320,Los Angeles International,LAX,3
Ronald Reagan Washington National Airport,825,Hartsfield-jackson Atlanta International,ATL,4,Denver International,1905,Los Angeles International,LAX,4
Southwest Florida International,764,Hartsfield-jackson Atlanta International,ATL,5,Dallas/Fort Worth International,2644,Los Angeles International,LAX,5
Orlando International,728,Hartsfield-jackson Atlanta International,ATL,6,Boise Air Terminal/Gowen Field,809,Los Angeles International,LAX,6
Gerald R. Ford International,652,Hartsfield-jackson Atlanta International,ATL,7,George Bush Intercontinental,1598,Los Angeles International,LAX,7
Logan International,639,Hartsfield-jackson Atlanta International,ATL,8,Seattle-Tacoma International,1251,Los Angeles International,LAX,8
John F Kennedy International,618,Hartsfield-jackson Atlanta International,ATL,9,Mineta San Jose International Airport,561,Los Angeles International,LAX,9
San Francisco International,603,Hartsfield-jackson Atlanta International,ATL,10,Sacramento International,857,Los Angeles International,LAX,10
Mc Carran International,589,Hartsfield-jackson Atlanta International,ATL,11,Salt Lake City International,1364,Los Angeles International,LAX,11
Piedmont Triad International,572,Hartsfield-jackson Atlanta International,ATL,12,John F Kennedy International,2086,Los Angeles International,LAX,12
Newark Liberty International,556,Hartsfield-jackson Atlanta International,ATL,13,Portland International,940,Los Angeles International,LAX,13
Cincinnati/Northern Kentucky,548,Hartsfield-jackson Atlanta International,ATL,14,San Diego International Airport,344,Los Angeles International,LAX,14
International Jetport,535,Hartsfield-jackson Atlanta International,ATL,15,Honolulu International,2616,Los Angeles International,LAX,15
Raleigh-durham International Airport,522,Hartsfield-jackson Atlanta International,ATL,16,Chicago Ohare International,2067,Los Angeles International,LAX,16
Tampa International,500,Hartsfield-jackson Atlanta International,ATL,17,Sky Harbor International,1271,Los Angeles International,LAX,17
Los Angeles International,489,Hartsfield-jackson Atlanta International,ATL,18,San Francisco International,1924,Los Angeles International,LAX,18
Louisville International (Standiford Field),488,Hartsfield-jackson Atlanta International,ATL,19,Hartsfield-jackson Atlanta International,1200,Los Angeles International,LAX,19
Louis Armstrong New Orléans International Airport,473,Hartsfield-jackson Atlanta International,ATL,20,Mc Carran International,1924,Los Angeles International,LAX,20
Denver International,465,Hartsfield-jackson Atlanta International,ATL,21,Schiphol,470,Los Angeles International,LAX,21
Seattle-Tacoma International,465,Hartsfield-jackson Atlanta International,ATL,22,Detroit Metropolitan Wayne County,467,Los Angeles International,LAX,22
Fort Lauderdale–Hollywood International,452,Hartsfield-jackson Atlanta International,ATL,23,Don Miguel Hidalgo y Costilla International,542,Los Angeles International,LAX,23
Greenville Spartanburg International Airport,449,Hartsfield-jackson Atlanta International,ATL,24,Charlotte Douglas,474,Los Angeles International,LAX,24
James Cox Dayton International,446,Hartsfield-jackson Atlanta International,ATL,25,Ninoy Aquino International,23,Los Angeles International,LAX,25
Jacksonville,436,Hartsfield-jackson Atlanta International,ATL,26,Internacional Benito Juarez,1216,Los Angeles International,LAX,26
Richmond International Airport,436,Hartsfield-jackson Atlanta International,ATL,27,Haneda Airport,246,Los Angeles International,LAX,27
Memphis International,429,Hartsfield-jackson Atlanta International,ATL,28,El Salvador International,390,Los Angeles International,LAX,28
Mc Ghee Tyson,427,Hartsfield-jackson Atlanta International,ATL,29,Guangzhou Baiyun International,47,Los Angeles International,LAX,29
Albert J Ellis,423,Hartsfield-jackson Atlanta International,ATL,30,Austin-bergstrom International,988,Los Angeles International,LAX,30
Philadelphia International,422,Hartsfield-jackson Atlanta International,ATL,31,Heathrow,709,Los Angeles International,LAX,31
Sky Harbor International,421,Hartsfield-jackson Atlanta International,ATL,32,Palm Springs Metropolitan Area,236,Los Angeles International,LAX,32
International,418,Hartsfield-jackson Atlanta International,ATL,33,Franz Josef Strauss,17,Los Angeles International,LAX,33
Austin-bergstrom International,417,Hartsfield-jackson Atlanta International,ATL,34,Fresno Air Terminal Airport,332,Los Angeles International,LAX,34
Nashville International,393,Hartsfield-jackson Atlanta International,ATL,35,Nashville International,1174,Los Angeles International,LAX,35
Melbourne International Airport,392,Hartsfield-jackson Atlanta International,ATL,36,Logan International,554,Los Angeles International,LAX,36
Norfolk International Airport,388,Hartsfield-jackson Atlanta International,ATL,37,Orlando International,1239,Los Angeles International,LAX,37
Charlotte Douglas,378,Hartsfield-jackson Atlanta International,ATL,38,Ataturk Airport,451,Los Angeles International,LAX,38
Roanoke Regional Airport,362,Hartsfield-jackson Atlanta International,ATL,39,William P Hobby,170,Los Angeles International,LAX,39
Minneapolis - St. Paul International,360,Hartsfield-jackson Atlanta International,ATL,40,Beijing Capital International,83,Los Angeles International,LAX,40
