flight_count,flight_number,departure_airport,arrival_airport_id,arrival_airport
1,3071,Boise Air Terminal/Gowen Field,2,Hartsfield-jackson Atlanta International
4,2387,Sacramento International,2,Hartsfield-jackson Atlanta International
4,6399,Mc Carran International,2,Hartsfield-jackson Atlanta International
30,1496,John F Kennedy International,2,Hartsfield-jackson Atlanta International
4,4905,Sacramento International,2,Hartsfield-jackson Atlanta International
19,3809,Austin-bergstrom International,2,Hartsfield-jackson Atlanta International
19,3809,Austin-bergstrom International,2,Hartsfield-jackson Atlanta International
19,3809,Austin-bergstrom International,2,Hartsfield-jackson Atlanta International
2,4786,Palm Springs Metropolitan Area,2,Hartsfield-jackson Atlanta International
1,7329,Franz Josef Strauss,2,Hartsfield-jackson Atlanta International
28,4703,Dallas/Fort Worth International,2,Hartsfield-jackson Atlanta International
28,1765,Dallas/Fort Worth International,2,Hartsfield-jackson Atlanta International
28,1765,Dallas/Fort Worth International,2,Hartsfield-jackson Atlanta International
6,5009,Ataturk Airport,2,Hartsfield-jackson Atlanta International
17,6928,Raleigh-durham International Airport,2,Hartsfield-jackson Atlanta International
9,2932,George Bush Intercontinental,2,Hartsfield-jackson Atlanta International
19,6911,Austin-bergstrom International,2,Hartsfield-jackson Atlanta International
26,2798,"Jacksonville,",2,Hartsfield-jackson Atlanta International
3,2062,Snohomish County - Paine Field,2,Hartsfield-jackson Atlanta International
2,3748,Mineta San Jose International Airport,2,Hartsfield-jackson Atlanta International
4,6916,Don Miguel Hidalgo y Costilla International,2,Hartsfield-jackson Atlanta International
4,6399,Mc Carran International,2,Hartsfield-jackson Atlanta International
3,2062,Snohomish County - Paine Field,2,Hartsfield-jackson Atlanta International
4,3678,Sacramento International,2,Hartsfield-jackson Atlanta International
18,3020,Seattle-Tacoma International,2,Hartsfield-jackson Atlanta International
3,3397,Reno-Tahoe International,2,Hartsfield-jackson Atlanta International
6,3877,Fresno Air Terminal Airport,2,Hartsfield-jackson Atlanta International
6,3877,Fresno Air Terminal Airport,2,Hartsfield-jackson Atlanta International
7,2041,Denver International,2,Hartsfield-jackson Atlanta International
41,5651,Chicago Ohare International,2,Hartsfield-jackson Atlanta International
4,6916,Don Miguel Hidalgo y Costilla International,2,Hartsfield-jackson Atlanta International
6,5009,Ataturk Airport,2,Hartsfield-jackson Atlanta International
28,4703,Dallas/Fort Worth International,2,Hartsfield-jackson Atlanta International
9,2932,Detroit Metropolitan Wayne County,2,Hartsfield-jackson Atlanta International
1,3496,Clinton Field,2,Hartsfield-jackson Atlanta International
4,5409,Salt Lake City International,2,Hartsfield-jackson Atlanta International
4,5409,Salt Lake City International,2,Hartsfield-jackson Atlanta International
9,3598,Cancún International,2,Hartsfield-jackson Atlanta International
11,1336,San Francisco International,2,Hartsfield-jackson Atlanta International
11,3624,San Francisco International,2,Hartsfield-jackson Atlanta International
1,6886,Rogue Valley International - Medford Airport,2,Hartsfield-jackson Atlanta International
6,3877,Fresno Air Terminal Airport,2,Hartsfield-jackson Atlanta International
6,3877,Fresno Air Terminal Airport,2,Hartsfield-jackson Atlanta International
2,4786,Palm Springs Metropolitan Area,2,Hartsfield-jackson Atlanta International
19,9417,Austin-bergstrom International,2,Hartsfield-jackson Atlanta International
1,3792,Metropolitan Oak International,2,Hartsfield-jackson Atlanta International
11,2272,San Francisco International,2,Hartsfield-jackson Atlanta International
11,2272,San Francisco International,2,Hartsfield-jackson Atlanta International
11,2272,San Francisco International,2,Hartsfield-jackson Atlanta International
11,2272,San Francisco International,2,Hartsfield-jackson Atlanta International
11,2272,San Francisco International,2,Hartsfield-jackson Atlanta International
18,3076,Seattle-Tacoma International,2,Hartsfield-jackson Atlanta International
18,3076,Seattle-Tacoma International,2,Hartsfield-jackson Atlanta International
1,3581,Sky Harbor International,2,Hartsfield-jackson Atlanta International
4,6916,Don Miguel Hidalgo y Costilla International,2,Hartsfield-jackson Atlanta International
3,980,Memphis International,2,Hartsfield-jackson Atlanta International
2,3748,Mineta San Jose International Airport,2,Hartsfield-jackson Atlanta International
1,6899,Hartsfield-jackson Atlanta International,2,Hartsfield-jackson Atlanta International
9,2932,George Bush Intercontinental,2,Hartsfield-jackson Atlanta International
9,7237,George Bush Intercontinental,2,Hartsfield-jackson Atlanta International
9,554,Newark Liberty International,2,Hartsfield-jackson Atlanta International
19,9417,Austin-bergstrom International,2,Hartsfield-jackson Atlanta International
