departure_airport_id,departure_airport,departure_terminal,departure_gate,departure_delay,,,,,,arrival_airport_id,arrival_airport,,,,,,,,,,Country
35,Internacional Benito Juarez,2,54,25,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
53,Franz Josef Strauss,2,H14,10,,,,,,1,Los Angeles International,,,,,,,,,,Germany
53,Franz Josef Strauss,2,H14,10,,,,,,1,Los Angeles International,,,,,,,,,,Germany
213,Manzanillo,1,HG,6,,,,,,1,Los Angeles International,,,,,,,,,,Cuba
6,Schiphol,NULL,NULL,NULL,,,,,,1,Los Angeles International,,,,,,,,,,Netherlands
6,Schiphol,NULL,NULL,NULL,,,,,,1,Los Angeles International,,,,,,,,,,Netherlands
54,Don Miguel Hidalgo y Costilla International,1,B10,9,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
215,Ninoy Aquino International,NULL,NULL,NULL,,,,,,1,Los Angeles International,,,,,,,,,,Phillipines
19,Haneda Airport,3,109,12,,,,,,1,Los Angeles International,,,,,,,,,,Japan
207,El Salvador International,NULL,G12,10,,,,,,1,Los Angeles International,,,,,,,,,,El Salvador
207,El Salvador International,NULL,G12,10,,,,,,1,Los Angeles International,,,,,,,,,,El Salvador
216,Guangzhou Baiyun International,2,NULL,27,,,,,,1,Los Angeles International,,,,,,,,,,China
216,Guangzhou Baiyun International,2,NULL,27,,,,,,1,Los Angeles International,,,,,,,,,,China
216,Guangzhou Baiyun International,2,NULL,27,,,,,,1,Los Angeles International,,,,,,,,,,China
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
53,Franz Josef Strauss,2,H14,10,,,,,,1,Los Angeles International,,,,,,,,,,Germany
53,Franz Josef Strauss,2,H14,10,,,,,,1,Los Angeles International,,,,,,,,,,Germany
53,Franz Josef Strauss,2,H14,10,,,,,,1,Los Angeles International,,,,,,,,,,Germany
217,Ataturk Airport,NULL,A11,22,,,,,,1,Los Angeles International,,,,,,,,,,Turkey
217,Ataturk Airport,NULL,A11,22,,,,,,1,Los Angeles International,,,,,,,,,,Turkey
217,Ataturk Airport,NULL,A11,22,,,,,,1,Los Angeles International,,,,,,,,,,Turkey
218,Taiwan Taoyuan International (Chiang Kai Shek International),2,C4,13,,,,,,1,Los Angeles International,,,,,,,,,,Taiwan
218,Taiwan Taoyuan International (Chiang Kai Shek International),2,C4,13,,,,,,1,Los Angeles International,,,,,,,,,,Taiwan
218,Taiwan Taoyuan International (Chiang Kai Shek International),2,C4,13,,,,,,1,Los Angeles International,,,,,,,,,,Taiwan
