departure_airport,flight_count
Adams Field Airport,2
Albemarle,4
Albuquerque International,20
Arcata,2
Arturo Merino Benitez,1
Asheville Regional Airport,2
Ataturk Airport,7
Auckland International,1
Austin-bergstrom International,69
Austin-straubel Field,2
Beijing Capital International,1
Boise Air Terminal/Gowen Field,27
Cancún International,16
Central Illinois Regional Airport at Bloomington-Normal,1
Charlotte Douglas,18
Chicago Ohare International,59
Cincinnati/Northern Kentucky,24
Clinton Field,5
Colorado Springs,5
Dallas/Fort Worth International,85
Dane County Regional,3
Daniel Oduber International,9
Denver International,61
Detroit Metropolitan Wayne County,29
Doha International,3
Don Miguel Hidalgo y Costilla International,30
Dothan Airport,1
Eglin AFB,1
El Salvador International,3
Findel,1
Fort Lauderdale–Hollywood International,14
Fort Worth Alliance,4
Frankfurt International Airport,5
Franz Josef Strauss,5
Fresno Air Terminal Airport,17
Fuzhou,1
George Bush Intercontinental,40
Greenville Spartanburg International Airport,3
Guangzhou Baiyun International,3
Haneda Airport,7
Hartsfield-jackson Atlanta International,29
Heathrow,50
Hong Kong International,14
Honolulu International,17
Hopkins International,9
Imperial County,9
Indianapolis International,2
Internacional,4
Internacional Benito Juarez,44
International,3
International Jetport,3
"Jacksonville,",1
Jeffco,1
John F Kennedy International,51
Jorge Chavez International,5
Kahului,3
Kansas City International Airport,1
Kingsford Smith,14
Kona International Airport,1
La Aurora,2
Licenciado Gustavo Díaz Ordaz International,7
Logan International,9
Loreto,3
Louis Armstrong New Orléans International Airport,31
Louisville International (Standiford Field),2
Love Field,4
Lovell Field,3
Manzanillo,1
Mc Carran International,43
Melbourne International Airport,3
Memphis International,11
Merced Municipal Airport,5
Metropolitan Oak International,13
Miami International Airport,26
Midway,1
Mineta San Jose International Airport,53
Minneapolis - St. Paul International,5
Municipal,1
Municipal/Baer Field,2
NW Florida Beaches Int,1
Nanjing Lukou International Airport,3
Narita International Airport,6
Nashville International,19
Newark Liberty International,16
Ninoy Aquino International,1
Orlando International,32
Palm Springs Metropolitan Area,7
Philadelphia International,13
Piedmont Triad International,1
Pierre Elliott Trudeau International,1
Pittsburgh International,1
Portland International,55
Provo,4
Raleigh-durham International Airport,7
Reno-Tahoe International,36
Rogue Valley International - Medford Airport,2
Ronald Reagan Washington National Airport,14
Sacramento International,18
Salt Lake City International,40
San Antonio International,3
San Diego International Airport,6
San Francisco International,52
Sangster International,1
Sarasota/Bradenton International,3
Savannah/Hilton Head,1
Schiphol,11
Seattle-Tacoma International,23
Seoul (Incheon),33
Shanghai Pudong International,16
Sharjah International Airport,1
Singapore Changi,8
Sky Harbor International,62
Snohomish County - Paine Field,11
Sonoma County,1
Spokane International,4
Stewart,1
Taiwan Taoyuan International (Chiang Kai Shek International),17
Tampa International,37
Ted Stevens Anchorage International Airport,12
Tucson International Airport,36
Tullamarine,1
Van Nuys,1
Washington Dulles International,7
William P Hobby,3
Xiamen,1
Yeager,2
Zhengzhou,2
