flight_count,flight_number,departure_airport,arrival_airport_id,arrival_airport
1,265,Manzanillo,1,Los Angeles International
2,535,Metropolitan Oak International,1,Los Angeles International
3,510,Metropolitan Oak International,1,Los Angeles International
4,510,Metropolitan Oak International,1,Los Angeles International
5,510,Metropolitan Oak International,1,Los Angeles International
6,510,Metropolitan Oak International,1,Los Angeles International
7,4259,Love Field,1,Los Angeles International
8,215,Denver International,1,Los Angeles International
9,2742,Dallas/Fort Worth International,1,Los Angeles International
10,1193,Dallas/Fort Worth International,1,Los Angeles International
11,1331,Dallas/Fort Worth International,1,Los Angeles International
12,3303,Boise Air Terminal/Gowen Field,1,Los Angeles International
13,3071,Boise Air Terminal/Gowen Field,1,Los Angeles International
14,7563,Boise Air Terminal/Gowen Field,1,Los Angeles International
15,2224,George Bush Intercontinental,1,Los Angeles International
16,2224,George Bush Intercontinental,1,Los Angeles International
17,200,Seattle-Tacoma International,1,Los Angeles International
18,444,Seattle-Tacoma International,1,Los Angeles International
19,3423,Mineta San Jose International Airport,1,Los Angeles International
20,1737,Mineta San Jose International Airport,1,Los Angeles International
21,3115,Mineta San Jose International Airport,1,Los Angeles International
22,5513,Sacramento International,1,Los Angeles International
23,2387,Sacramento International,1,Los Angeles International
24,9087,Sacramento International,1,Los Angeles International
25,9087,Sacramento International,1,Los Angeles International
26,1142,Salt Lake City International,1,Los Angeles International
27,7216,Salt Lake City International,1,Los Angeles International
28,1963,Salt Lake City International,1,Los Angeles International
29,117,John F Kennedy International,1,Los Angeles International
30,117,John F Kennedy International,1,Los Angeles International
31,4043,Portland International,1,Los Angeles International
32,4043,Portland International,1,Los Angeles International
33,2649,Portland International,1,Los Angeles International
34,5793,San Diego International Airport,1,Los Angeles International
35,6235,San Diego International Airport,1,Los Angeles International
36,8893,San Diego International Airport,1,Los Angeles International
37,496,Honolulu International,1,Los Angeles International
38,1783,Honolulu International,1,Los Angeles International
39,3591,Honolulu International,1,Los Angeles International
40,7523,Chicago Ohare International,1,Los Angeles International
41,7523,Chicago Ohare International,1,Los Angeles International
42,9583,Chicago Ohare International,1,Los Angeles International
43,9583,Chicago Ohare International,1,Los Angeles International
44,669,Chicago Ohare International,1,Los Angeles International
45,669,Chicago Ohare International,1,Los Angeles International
46,4515,Sky Harbor International,1,Los Angeles International
47,256,San Francisco International,1,Los Angeles International
48,2951,Sky Harbor International,1,Los Angeles International
49,2951,Sky Harbor International,1,Los Angeles International
50,385,Seattle-Tacoma International,1,Los Angeles International
51,365,Hartsfield-jackson Atlanta International,1,Los Angeles International
52,365,Hartsfield-jackson Atlanta International,1,Los Angeles International
53,365,Hartsfield-jackson Atlanta International,1,Los Angeles International
54,3947,Mc Carran International,1,Los Angeles International
55,3947,Mc Carran International,1,Los Angeles International
56,6399,Mc Carran International,1,Los Angeles International
57,6399,Mc Carran International,1,Los Angeles International
58,4182,Mc Carran International,1,Los Angeles International
59,4182,Mc Carran International,1,Los Angeles International
60,3240,Mc Carran International,1,Los Angeles International
61,3240,Mc Carran International,1,Los Angeles International
62,6842,Schiphol,1,Los Angeles International
63,9293,Schiphol,1,Los Angeles International
64,4502,Detroit Metropolitan Wayne County,1,Los Angeles International
65,4502,Detroit Metropolitan Wayne County,1,Los Angeles International
66,2528,Detroit Metropolitan Wayne County,1,Los Angeles International
67,2528,Detroit Metropolitan Wayne County,1,Los Angeles International
68,510,Don Miguel Hidalgo y Costilla International,1,Los Angeles International
69,510,Don Miguel Hidalgo y Costilla International,1,Los Angeles International
70,510,Don Miguel Hidalgo y Costilla International,1,Los Angeles International
71,510,Don Miguel Hidalgo y Costilla International,1,Los Angeles International
72,3315,Portland International,1,Los Angeles International
73,3315,Portland International,1,Los Angeles International
74,3315,Portland International,1,Los Angeles International
75,3068,Portland International,1,Los Angeles International
76,3068,Portland International,1,Los Angeles International
77,3068,Portland International,1,Los Angeles International
78,1674,Charlotte Douglas,1,Los Angeles International
79,1674,Charlotte Douglas,1,Los Angeles International
80,1674,Charlotte Douglas,1,Los Angeles International
81,8102,Ninoy Aquino International,1,Los Angeles International
82,2732,Denver International,1,Los Angeles International
83,7547,Dallas/Fort Worth International,1,Los Angeles International
84,7547,Dallas/Fort Worth International,1,Los Angeles International
85,615,Internacional Benito Juarez,1,Los Angeles International
86,615,Internacional Benito Juarez,1,Los Angeles International
87,413,Sky Harbor International,1,Los Angeles International
88,413,Sky Harbor International,1,Los Angeles International
89,413,Sky Harbor International,1,Los Angeles International
90,1293,Sky Harbor International,1,Los Angeles International
91,1293,Sky Harbor International,1,Los Angeles International
92,1293,Sky Harbor International,1,Los Angeles International
93,9198,Sky Harbor International,1,Los Angeles International
94,9198,Sky Harbor International,1,Los Angeles International
95,9198,Sky Harbor International,1,Los Angeles International
96,7583,Sky Harbor International,1,Los Angeles International
97,7583,Sky Harbor International,1,Los Angeles International
98,7583,Sky Harbor International,1,Los Angeles International
99,106,Haneda Airport,1,Los Angeles International
100,106,Haneda Airport,1,Los Angeles International
101,5924,El Salvador International,1,Los Angeles International
102,1966,El Salvador International,1,Los Angeles International
103,6231,San Diego International Airport,1,Los Angeles International
104,5854,San Diego International Airport,1,Los Angeles International
105,3569,Portland International,1,Los Angeles International
106,6864,Portland International,1,Los Angeles International
107,4150,Portland International,1,Los Angeles International
108,1284,Portland International,1,Los Angeles International
109,7043,Guangzhou Baiyun International,1,Los Angeles International
110,7750,Guangzhou Baiyun International,1,Los Angeles International
111,327,Guangzhou Baiyun International,1,Los Angeles International
112,6875,John F Kennedy International,1,Los Angeles International
113,3827,John F Kennedy International,1,Los Angeles International
114,7364,John F Kennedy International,1,Los Angeles International
115,1496,John F Kennedy International,1,Los Angeles International
116,1127,Charlotte Douglas,1,Los Angeles International
117,487,Charlotte Douglas,1,Los Angeles International
118,4905,Sacramento International,1,Los Angeles International
119,7561,Sacramento International,1,Los Angeles International
120,7561,Sacramento International,1,Los Angeles International
121,7579,Sacramento International,1,Los Angeles International
122,3901,Sacramento International,1,Los Angeles International
123,3172,Sacramento International,1,Los Angeles International
124,516,Hartsfield-jackson Atlanta International,1,Los Angeles International
125,2373,Austin-bergstrom International,1,Los Angeles International
126,2373,Austin-bergstrom International,1,Los Angeles International
127,3809,Austin-bergstrom International,1,Los Angeles International
128,717,Austin-bergstrom International,1,Los Angeles International
129,23,Heathrow,1,Los Angeles International
130,4217,Palm Springs Metropolitan Area,1,Los Angeles International
131,2812,Palm Springs Metropolitan Area,1,Los Angeles International
132,4786,Palm Springs Metropolitan Area,1,Los Angeles International
133,4786,Palm Springs Metropolitan Area,1,Los Angeles International
134,3883,Palm Springs Metropolitan Area,1,Los Angeles International
135,8860,Franz Josef Strauss,1,Los Angeles International
136,4214,Franz Josef Strauss,1,Los Angeles International
137,7329,Franz Josef Strauss,1,Los Angeles International
138,7246,Franz Josef Strauss,1,Los Angeles International
139,452,Franz Josef Strauss,1,Los Angeles International
